Territory	Date	t	N	S(t)	C(t)	I(t)	R(t)	D(t)
['SP, SP, *']	2020-08-17	174	46289333	44930753	1358580	284251	1021494	52835
['SP, SP, *']	2020-08-18	175	46289333	44910191	1379142	282261	1043548	53333
['SP, SP, *']	2020-08-19	176	46289333	44891278	1398055	277515	1066715	53825
['SP, SP, *']	2020-08-20	177	46289333	44875171	1414162	270788	1089097	54277
['SP, SP, *']	2020-08-21	178	46289333	44860932	1428401	262509	1111174	54718
['SP, SP, *']	2020-08-22	179	46289333	44846157	1443176	258654	1129343	55179
['SP, SP, *']	2020-08-23	180	46289333	44830547	1458786	263467	1139679	55640
['SP, SP, *']	2020-08-24	181	46289333	44815171	1474162	265571	1152492	56099
['SP, SP, *']	2020-08-25	182	46289333	44799702	1489631	256831	1176245	56555
['SP, SP, *']	2020-08-26	183	46289333	44784057	1505276	242089	1206174	57013
['SP, SP, *']	2020-08-27	184	46289333	44768736	1520597	227496	1235657	57444
['SP, SP, *']	2020-08-28	185	46289333	44751522	1537811	221664	1258263	57884
['SP, SP, *']	2020-08-29	186	46289333	44737359	1551974	220824	1272858	58292
['SP, SP, *']	2020-08-30	187	46289333	44723280	1566053	226385	1280944	58724
['SP, SP, *']	2020-08-31	188	46289333	44709605	1579728	228167	1292406	59155
['SP, SP, *']	2020-09-01	189	46289333	44695689	1593644	223641	1310430	59573
['SP, SP, *']	2020-09-02	190	46289333	44681347	1607986	218867	1329123	59996
['SP, SP, *']	2020-09-03	191	46289333	44666054	1623279	216107	1346750	60422
['SP, SP, *']	2020-09-04	192	46289333	44652109	1637224	212266	1364137	60821
['SP, SP, *']	2020-09-05	193	46289333	44636603	1652730	210137	1381345	61248
['SP, SP, *']	2020-09-06	194	46289333	44621655	1667678	214641	1391396	61641
['SP, SP, *']	2020-09-07	195	46289333	44606745	1682588	217395	1403166	62027
['SP, SP, *']	2020-09-08	196	46289333	44594057	1695276	210979	1421969	62328
['SP, SP, *']	2020-09-09	197	46289333	44582558	1706775	201630	1442489	62656
['SP, SP, *']	2020-09-10	198	46289333	44572051	1717282	191448	1462835	62999
['SP, SP, *']	2020-09-11	199	46289333	44561253	1728080	185914	1478811	63355
['SP, SP, *']	2020-09-12	200	46289333	44550509	1738824	186785	1488326	63713
['SP, SP, *']	2020-09-13	201	46289333	44540070	1749263	189636	1495556	64071
['SP, SP, *']	2020-09-14	202	46289333	44529549	1759784	188957	1506391	64436
['SP, SP, *']	2020-09-15	203	46289333	44517410	1771923	181567	1525482	64874
['SP, SP, *']	2020-09-16	204	46289333	44505167	1784166	172162	1546721	65283
['SP, SP, *']	2020-09-17	205	46289333	44493148	1796185	164874	1565637	65674
['SP, SP, *']	2020-09-18	206	46289333	44481227	1808106	161144	1580905	66057
['SP, SP, *']	2020-09-19	207	46289333	44469518	1819815	160571	1592798	66446
['SP, SP, *']	2020-09-20	208	46289333	44457220	1832113	166860	1598422	66831
['SP, SP, *']	2020-09-21	209	46289333	44444653	1844680	173612	1603854	67214
['SP, SP, *']	2020-09-22	210	46289333	44432038	1857295	175159	1614550	67586
['SP, SP, *']	2020-09-23	211	46289333	44419882	1869451	171787	1629724	67940
['SP, SP, *']	2020-09-24	212	46289333	44408048	1881285	166543	1646458	68284
['SP, SP, *']	2020-09-25	213	46289333	44396508	1892825	162838	1661360	68627
['SP, SP, *']	2020-09-26	214	46289333	44385304	1904029	163960	1671117	68952
['SP, SP, *']	2020-09-27	215	46289333	44374751	1914582	168668	1676632	69282
['SP, SP, *']	2020-09-28	216	46289333	44364520	1924813	170188	1685017	69608
['SP, SP, *']	2020-09-29	217	46289333	44354778	1934555	164579	1700047	69929
['SP, SP, *']	2020-09-30	218	46289333	44345162	1944171	158057	1715862	70252
['SP, SP, *']	2020-10-01	219	46289333	44335595	1953738	151480	1731684	70574
['SP, SP, *']	2020-10-02	220	46289333	44326334	1962999	146304	1745813	70882
['SP, SP, *']	2020-10-03	221	46289333	44317037	1972296	144153	1756954	71189
['SP, SP, *']	2020-10-04	222	46289333	44308057	1981276	145871	1763916	71489
['SP, SP, *']	2020-10-05	223	46289333	44299239	1990094	145584	1772720	71790
['SP, SP, *']	2020-10-06	224	46289333	44290290	1999043	141599	1785340	72104
['SP, SP, *']	2020-10-07	225	46289333	44282242	2007091	135955	1798758	72378
['SP, SP, *']	2020-10-08	226	46289333	44273477	2015856	131628	1811541	72687
['SP, SP, *']	2020-10-09	227	46289333	44264661	2024672	127602	1824065	73005
['SP, SP, *']	2020-10-10	228	46289333	44255693	2033640	128266	1832058	73316
['SP, SP, *']	2020-10-11	229	46289333	44245980	2043353	133334	1836389	73630
['SP, SP, *']	2020-10-12	230	46289333	44236169	2053164	135839	1843380	73945
['SP, SP, *']	2020-10-13	231	46289333	44228115	2061218	131708	1855330	74180
['SP, SP, *']	2020-10-14	232	46289333	44219183	2070150	128148	1867547	74455
['SP, SP, *']	2020-10-15	233	46289333	44210838	2078495	123784	1880026	74685
['SP, SP, *']	2020-10-16	234	46289333	44203342	2085991	119852	1891251	74888
['SP, SP, *']	2020-10-17	235	46289333	44195394	2093939	119959	1898872	75108
['SP, SP, *']	2020-10-18	236	46289333	44187982	2101351	123968	1902057	75326
