Territory	Date	t	N	S(t)	I(t)	R(t)	D(t)
Sudeste, SP, *	2020-06-08	146	45919049	0	144593	77608	9188
Sudeste, SP, *	2020-06-09	147	45919049	0	150138	80072	9522
Sudeste, SP, *	2020-06-10	148	45919049	0	156316	83526	9862
Sudeste, SP, *	2020-06-11	149	45919049	0	162520	89365	10145
Sudeste, SP, *	2020-06-12	150	45919049	0	167900	94496	10368
Sudeste, SP, *	2020-06-13	151	45919049	0	172875	99576	10581
Sudeste, SP, *	2020-06-14	152	45919049	0	178202	101900	10694
Sudeste, SP, *	2020-06-15	153	45919049	0	181460	103420	10767
Sudeste, SP, *	2020-06-16	154	45919049	0	190285	109517	11132
Sudeste, SP, *	2020-06-17	155	45919049	0	191517	114394	11521
Sudeste, SP, *	2020-06-18	156	45919049	0	192628	120022	11846
Sudeste, SP, *	2020-06-19	157	45919049	0	211658	125259	12232
Sudeste, SP, *	2020-06-20	158	45919049	0	215793	131017	12494
Sudeste, SP, *	2020-06-21	159	45919049	0	219185	133470	12588
Sudeste, SP, *	2020-06-22	160	45919049	0	221973	134959	12634
Sudeste, SP, *	2020-06-23	161	45919049	0	229475	140509	13068
Sudeste, SP, *	2020-06-24	162	45919049	0	238822	146408	13352
Sudeste, SP, *	2020-06-25	163	45919049	0	248587	152393	13759
Sudeste, SP, *	2020-06-26	164	45919049	0	258508	157706	13966
Sudeste, SP, *	2020-06-27	165	45919049	0	265581	162713	14263
Sudeste, SP, *	2020-06-28	166	45919049	0	271737	167439	14338
Sudeste, SP, *	2020-06-29	167	45919049	0	275145	170326	14398
Sudeste, SP, *	2020-06-30	168	45919049	0	281380	178397	14763
Sudeste, SP, *	2020-07-01	169	45919049	0	289935	180453	15030
Sudeste, SP, *	2020-07-02	170	45919049	0	302179	182415	15351
Sudeste, SP, *	2020-07-03	171	45919049	0	310702	198739	15694
Sudeste, SP, *	2020-07-04	172	45919049	0	312530	202969	15996
Sudeste, SP, *	2020-07-05	173	45919049	0	320179	206542	16078
Sudeste, SP, *	2020-07-06	174	45919049	0	323070	209329	16134
Sudeste, SP, *	2020-07-07	175	45919049	0	332708	216760	16475
Sudeste, SP, *	2020-07-08	176	45919049	0	341365	224676	16788
Sudeste, SP, *	2020-07-09	177	45919049	0	349715	233060	17118
Sudeste, SP, *	2020-07-10	178	45919049	0	359110	244044	17442
Sudeste, SP, *	2020-07-11	179	45919049	0	366890	250631	17702
Sudeste, SP, *	2020-07-12	180	45919049	0	371997	256220	17848
Sudeste, SP, *	2020-07-13	181	45919049	0	374607	259450	17907
