Territory	Date	t	N	S(t)	C(t)	I(t)	R(t)	D(t)
['*, *, *']	2020-10-11	229	211755692	201764909	9990783	729763	8964561	296459
['*, *, *']	2020-10-12	230	211755692	201719460	10036232	722874	9015780	297578
['*, *, *']	2020-10-13	231	211755692	201679065	10076627	699496	9078565	298566
['*, *, *']	2020-10-14	232	211755692	201638717	10116975	671728	9145668	299579
['*, *, *']	2020-10-15	233	211755692	201598250	10157442	646365	9210492	300585
['*, *, *']	2020-10-16	234	211755692	201558475	10197217	632468	9263188	301561
['*, *, *']	2020-10-17	235	211755692	201519142	10236550	634405	9299623	302522
['*, *, *']	2020-10-18	236	211755692	201479216	10276476	633950	9339043	303483
['*, *, *']	2020-10-19	237	211755692	201436831	10318861	622010	9392367	304484
['*, *, *']	2020-10-20	238	211755692	201391400	10364292	608954	9449771	305567
['*, *, *']	2020-10-21	239	211755692	201346857	10408835	595336	9506900	306599
['*, *, *']	2020-10-22	240	211755692	201303858	10451834	582098	9562190	307546
['*, *, *']	2020-10-23	241	211755692	201259574	10496118	576840	9610779	308499
['*, *, *']	2020-10-24	242	211755692	201214441	10541251	585844	9645982	309425
['*, *, *']	2020-10-25	243	211755692	201169966	10585726	605740	9669656	310330
['*, *, *']	2020-10-26	244	211755692	201124826	10630866	621859	9697770	311237
['*, *, *']	2020-10-27	245	211755692	201077965	10677727	622275	9743344	312108
['*, *, *']	2020-10-28	246	211755692	201030292	10725400	612170	9800269	312961
['*, *, *']	2020-10-29	247	211755692	200982023	10773669	605996	9853847	313826
['*, *, *']	2020-10-30	248	211755692	200935779	10819913	605122	9900110	314681
['*, *, *']	2020-10-31	249	211755692	200893212	10862480	610237	9936737	315506
['*, *, *']	2020-11-01	250	211755692	200851119	10904573	617931	9970314	316328
['*, *, *']	2020-11-02	251	211755692	200812071	10943621	613860	10012656	317105
['*, *, *']	2020-11-03	252	211755692	200776865	10978827	599743	10061250	317834
['*, *, *']	2020-11-04	253	211755692	200742834	11012858	581927	10112337	318594
['*, *, *']	2020-11-05	254	211755692	200709707	11045985	561202	10165416	319367
['*, *, *']	2020-11-06	255	211755692	200677268	11078424	543074	10215282	320068
['*, *, *']	2020-11-07	256	211755692	200643643	11112049	539899	10251398	320752
['*, *, *']	2020-11-08	257	211755692	200609965	11145727	538991	10285297	321439
