t	gamma	gamma_r	gamma_d	beta	N	S	S_	I	I_	R	R_	D	D_	∆S(t)	∆S_(t)	∆I(t)	∆I_(t)	∆R(t)	∆R_(t)	∆D(t)	∆D_(t)
24	0.03060390740870285	0.020402604939135233	0.010201302469567616	0.07140248322836973	10000.0	9961.911955481273	9961.911955481182	26.02128986941742	26.02128986948073	8.044503099531436	8.044503099557174	4.022251549765718	4.022251549778587	-1.779131338784282	-1.7791313387875005	1.0137995594693443	1.0137995594871954	0.510221186199276	0.5102211862002035	0.255110593099638	0.25511059310010176
25	0.030603705174293457	0.02040247011619564	0.01020123505809782	0.07140174260184329	10000.0	9960.06104746824	9960.061047468145	27.075844736651373	27.075844736698013	8.575405196743882	8.57540519677091	4.287702598371941	4.287702598385455	-1.8509080130334041	-1.8509080130378905	1.0545548672339535	1.0545548672172849	0.5309020972124454	0.5309020972137372	0.2654510486062227	0.2654510486068686
26	0.030603494788662332	0.020402329859108222	0.010201164929554111	0.0714009721666674	10000.0	9958.135506219534	9958.135506219436	28.172764815680797	28.172764815739946	9.127819309854164	9.127819309882145	4.563909654927082	4.563909654941073	-1.9255412487054855	-1.925541248708784	1.0969200790294238	1.0969200790419327	0.5524141131102827	0.5524141131112342	0.27620705655514133	0.2762070565556171
27	0.03060327592803954	0.02040218395202636	0.01020109197601318	0.07140017074519575	10000.0	9956.13236472889	9956.132364728788	29.313721245107626	29.313721245167763	9.702609350666762	9.70260935069595	4.851304675333381	4.851304675347975	-2.0031414906443388	-2.0031414906485248	1.1409564294268293	1.1409564294278178	0.5747900408125979	0.5747900408138047	0.28739502040629894	0.28739502040690235
28	0.03060304825619444	0.020402032170796294	0.010201016085398147	0.07139933710947236	10000.0	9954.048541543501	9954.048541543396	30.500448530739323	30.500448530817124	10.300673283827871	10.300673283858286	5.150336641913936	5.150336641929143	-2.08382318538861	-2.083823185392864	1.1867272856316973	1.18672728564936	0.5980639331611091	0.598063933162336	0.29903196658055453	0.299031966581168
29	0.03060281142397849	0.020401874282652326	0.010200937141326163	0.07139846999046569	10000.0	9951.880836640226	9951.880836640115	31.734746735806997	31.73474673587354	10.922944415975731	10.922944416007734	5.461472207987866	5.461472208003867	-2.16770490327508	-2.1677049032805864	1.2342982050676738	1.234298205056415	0.6222711321478602	0.6222711321494475	0.3111355660739301	0.31113556607472376
30	0.030602565068870477	0.02040171004591365	0.010200855022956826	0.07139756806623337	10000.0	9949.625927177276	9949.62592717716	33.01848372881263	33.0184837288829	11.570392729271477	11.570392729304837	5.7851963646357385	5.7851963646524185	-2.254909462950309	-2.2549094629550117	1.2837369930056362	1.283736993009357	0.6474483132957456	0.6474483132971032	0.3237241566478728	0.3237241566485516
31	0.030602308814505604	0.020401539209670402	0.010200769604835201	0.07139662996589752	10000.0	9947.280363120404	9947.280363120282	34.35359748887976	34.35359748897109	12.24402626046243	12.244026260497224	6.122013130231215	6.122013130248612	-2.345564056871808	-2.3455640568767726	1.3351137600671237	1.3351137600881926	0.6736335311909531	0.6736335311923867	0.3368167655954766	0.33681676559619333
32	0.030602042270180686	0.02040136151345379	0.010200680756726895	0.07139565426645833	10000.0	9944.840562741725	9944.840562741596	35.742098468290365	35.74209846840997	12.944892526625045	12.944892526661702	6.472446263312523	6.472446263330851	-2.439800378679138	-2.439800378685595	1.3885009794106082	1.3885009794388774	0.700866266162615	0.7008662661644783	0.3504331330813075	0.35043313308223917
33	0.030601765030353584	0.02040117668690239	0.010200588343451195	0.07139463949525376	10000.0	9942.302807990189	9942.30280799005	37.186072011681546	37.186072011799524	13.6740799987261	13.674079998765198	6.83703999936305	6.837039999382599	-2.5377547515363403	-2.5377547515447993	1.4439735433911807	1.443973543389557	0.7291874721010547	0.7291874721034948	0.36459373605052736	0.3645937360517474
34	0.030601476674139358	0.02040098444942624	0.01020049222471312	0.07139358411702498	10000.0	9939.663239732587	9939.66323973244	38.68768083114322	38.68768083130311	14.432719624128291	14.432719624169795	7.2163598120641455	7.216359812084898	-2.63956825760215	-2.6395682576104873	1.5016088194616728	1.5016088195035906	0.758639625402191	0.7586396254045978	0.3793198127010955	0.3793198127022989
35	0.030601176764767205	0.020400784509844803	0.010200392254922402	0.07139248654613707	10000.0	9936.917852864994	9936.917852864835	40.24916753619684	40.249167536371715	15.22198639914881	15.221986399193575	7.610993199574405	7.610993199596788	-2.74538686759297	-2.745386867604275	1.5614867050536247	1.5614867050686043	0.7892667750205185	0.7892667750237804	0.3946333875102592	0.3946333875118902
36	0.03060086484904246	0.020400576566028308	0.010200288283014154	0.07139134513382503	10000.0	9934.06249129341	9934.06249129324	41.872857217359226	41.8728572175516	16.043100992755402	16.043100992803737	8.021550496377701	8.021550496401868	-2.855361571582762	-2.8553615715951226	1.6236896811623822	1.623689681179882	0.8211145936065929	0.8211145936101604	0.41055729680329645	0.4105572968050802
37	0.030600540456794435	0.020400360304529623	0.010200180152264812	0.0713901581717392	10000.0	9931.092842784541	9931.092842784357	43.56116008168016	43.56116008187744	16.89733142245651	16.89733142250877	8.448665711228255	8.448665711254385	-2.9696485088697955	-2.9696485088833873	1.6883028643209315	1.6883028643258386	0.8542304297011079	0.8542304297050324	0.4271152148505539	0.4271152148525162
38	0.030600203100305597	0.02040013540020373	0.010200067700101866	0.07138892388895546	10000.0	9928.00443368651	9928.004433686312	45.31657413830624	45.31657413849173	17.78599478340608	17.785994783462364	8.89299739170304	8.892997391731182	-3.088409098030752	-3.0884090980446817	1.7554140566260799	1.7554140566142924	0.8886633609495682	0.8886633609535929	0.4443316804747841	0.44433168047679644
39	0.03059985227372116	0.020399901515814108	0.010199950757907054	0.07138764044707027	10000.0	9924.792623520627	9924.792623520416	47.141687931749885	47.141687931940346	18.710459031700896	18.710459031760966	9.355229515850448	9.355229515880483	-3.211810165883435	-3.2118101658965172	1.8251137934436485	1.8251137934486141	0.924464248294818	0.9244642482986021	0.462232124147409	0.46223212414930104
40	0.030599487452454194	0.02039965830163613	0.010199829150818065	0.07138630594335446	10000.0	9921.452599445607	9921.452599445383	49.039183320142605	49.03918332032229	19.672144822797836	19.672144822861792	9.836072411398918	9.836072411430896	-3.3400240750197554	-3.340024075033179	1.89749538839272	1.8974953883819405	0.9616857910969401	0.9616857911008255	0.48084289554847004	0.48084289555041276
41	0.03059910809258297	0.020399405395055314	0.010199702697527657	0.07138491840289536	10000.0	9917.979370595767	9917.97937059553	51.01183829530289	51.011838295486	20.67252740592004	20.672527405987662	10.33626370296002	10.336263702993831	-3.4732288498398702	-3.473228849852518	1.9726549751602818	1.972654975163715	1.000382583122203	1.0003825831258686	0.5001912915611015	0.5001912915629343
42	0.030598713630224116	0.02039914242014941	0.010199571210074705	0.07138347578262942	10000.0	9914.36776229612	9914.367762295871	53.06252984098026	53.06252984114077	21.71313857525293	21.713138575324287	10.856569287626465	10.856569287662143	-3.611608299646832	-3.61160829965971	2.050691545677374	2.0506915456547703	1.040611169332891	1.0406111693366265	0.5203055846664455	0.5203055846683132
43	0.030598303480888194	0.020398868987258796	0.010199434493629398	0.07138197596202486	10000.0	9910.612410156897	9910.612410156637	55.1942368251079	55.19423682527151	22.795568678652515	22.795568678727147	11.397784339326257	11.397784339363573	-3.75535213922376	-3.7553521392350246	2.1317069841276393	2.1317069841307363	1.0824301033995845	1.0824301034028587	0.5412150516997922	0.5412150517014294
44	0.030597877038846623	0.020398584692564416	0.010199292346282208	0.07138041674824203	10000.0	9906.707754051915	9906.707754051644	57.4100429213409	57.41004292148908	23.921468684499626	23.921468684577594	11.960734342249813	11.960734342288797	-3.9046561049817683	-3.9046561049932396	2.2158060962330026	2.215806096217567	1.125900005847111	1.1259000058504485	0.5629500029235555	0.5629500029252242
45	0.030597433676457807	0.020398289117638538	0.010199144558819269	0.07137879586690389	10000.0	9902.648031984605	9902.648031984323	59.71313955454385	59.713139554702664	25.092552307234357	25.092552307315348	12.546276153617178	12.546276153657674	-4.059722067309849	-4.059722067320217	2.303096633202948	2.303096633213587	1.1710836227347308	1.1710836227377532	0.5855418113673654	0.5855418113688766
46	0.030596972743511537	0.02039798182900769	0.010198990914503846	0.07137711096665507	10000.0	9898.427273847796	9898.427273847503	62.106828864235695	62.106828864384994	26.31059819198984	26.31059819207407	13.15529909599492	13.155299096037036	-4.220758136809309	-4.220758136820415	2.393689309691844	2.3936893096823306	1.2180458847554831	1.2180458847587228	0.6090229423777416	0.6090229423793614
47	0.030596493566543776	0.02039766237769585	0.010198831188847925	0.07137535960946592	10000.0	9894.039295082772	9894.039295082468	64.59452667929203	64.59452667946984	27.57745215861981	27.577452158707086	13.788726079309905	13.788726079353543	-4.387978765023945	-4.387978765034364	2.487697815056336	2.4876978150848412	1.26685396662997	1.2668539666330154	0.633426983314985	0.6334269833165077
48	0.030595995448139006	0.02039733029875934	0.01019866514937967	0.07137353927576458	10000.0	9889.47769024565	9889.477690245334	67.1797654964431	67.17976549662112	28.895029505271076	28.89502950536198	14.447514752635538	14.44751475268099	-4.561604837121195	-4.561604837133611	2.5852388171510654	2.5852388171512724	1.317577346651266	1.3175773466548928	0.658788673325633	0.6587886733274464
49	0.03059547766625035	0.020396985110833567	0.010198492555416784	0.07137164735725035	10000.0	9884.735826488488	9884.735826488159	69.86619745428314	69.86619745445458	30.26531737149522	30.265317371589756	15.13265868574761	15.132658685794878	-4.741863757162719	-4.741863757175132	2.6864319578400426	2.686431957833466	1.370287866224146	1.370287866227777	0.685143933112073	0.6851439331138885
50	0.0305949394734783	0.0203966263156522	0.0101983131578261	0.07136968115415204	10000.0	9879.806836965281	9879.806836964939	72.65759729363276	72.65759729382974	31.690377160720793	31.690377160818823	15.845188580360396	15.845188580409411	-4.9289895232068375	-4.928989523218768	2.791399839349623	2.791399839375166	1.4250597892255712	1.4250597892290682	0.7125298946127856	0.7125298946145341
51	0.03059438009637394	0.020396253397582626	0.010198126698791313	0.0713676378774461	10000.0	9874.683614173284	9874.683614172927	75.55786529415342	75.55786529434762	33.17234702171216	33.17234702181421	16.58617351085608	16.586173510907106	-5.12322279199725	-5.123222792010962	2.9002680005206543	2.9002680005178805	1.48196986099137	1.4819698609953877	0.740984930495685	0.7409849304976939
52	0.030593798734709313	0.020395865823139542	0.010197932911569771	0.07136551464151632	10000.0	9869.358803241254	9869.358803240884	78.57103017610484	78.57103017630546	34.71344438843213	34.713444388538136	17.356722194216065	17.356722194269068	-5.324810932030232	-5.324810932043727	3.0131648819514254	3.013164881957835	1.541097366719967	1.541097366723928	0.7705486833599835	0.770548683361964
53	0.030593194560771413	0.020395463040514275	0.010197731520257138	0.07136330846484455	10000.0	9863.824795178702	9863.824795178318	81.7012519550662	81.70125195527866	36.31596857748981	36.31596857759991	18.157984288744906	18.157984288799955	-5.534008062551948	-5.534008062565872	3.1302217789613564	3.1302217789732105	1.6025241890576822	1.602524189061774	0.8012620945288411	0.801262094530887
54	0.030592566718649506	0.02039504447909967	0.010197522239549835	0.07136101626514972	10000.0	9858.073720100518	9858.07372010012	84.9528247362963	84.95282473655088	37.98230344210311	37.98230344221754	18.991151721051555	18.99115172110877	-5.751075078183931	-5.751075078198662	3.251572781230095	3.251572781272216	1.6663348646132974	1.6663348646176306	0.8331674323066487	0.8331674323088153
55	0.030591914323492245	0.02039460954899483	0.010197304774497415	0.07135863486154703	10000.0	9852.097440443948	9852.097440443531	88.33017943419254	88.33017943444798	39.71492008122503	39.71492008134466	19.857460040612516	19.85746004067233	-5.976279656570114	-5.976279656587782	3.3773546978962514	3.377354697897111	1.7326166391219218	1.732616639127114	0.8663083195609609	0.866308319563557
56	0.030591236460821153	0.020394157640547434	0.010197078820273717	0.07135616096627967	10000.0	9845.887544195675	9845.88754419524	91.83788640101679	91.8378864013007	41.51637960217804	41.51637960230288	20.75818980108902	20.75818980115144	-6.209896248272344	-6.20989624829004	3.5077069668242444	3.5077069668527106	1.80145952095301	1.8014595209582196	0.900729760476505	0.9007297604791098
57	0.030590532185792815	0.020393688123861876	0.010196844061930938	0.07135359118741473	10000.0	9839.435338150042	9839.435338149588	95.4806579476907	95.48065794798906	43.389335934815065	43.38933593494569	21.694667967407533	21.694667967472846	-6.45220604563292	-6.452206045652581	3.642771546673913	3.64277154668836	1.872956332637024	1.8729563326428138	0.936478166318512	0.9364781663214069
58	0.030589800522518102	0.0203932003483454	0.0101966001741727	0.07135092202454581	10000.0	9832.731841219658	9832.731841219183	99.26335073801424	99.26335073831513	45.3365386948614	45.33653869499811	22.6682693474307	22.668269347499056	-6.703496930384063	-6.7034969304047	3.7826927903235372	3.7826927903260668	1.9472027600463377	1.9472027600524224	0.9736013800231689	0.9736013800262112
59	0.030589040463355158	0.02039269364223677	0.010196346821118385	0.0713481498662552	10000.0	9825.767777823252	9825.767777822757	103.19096803613947	103.19096803646043	47.36083609370981	47.360836093852654	23.680418046854903	23.680418046926327	-6.964063396406345	-6.96406339642712	3.9276172981252273	3.92761729814531	2.024297398848404	2.02429739885454	1.012148699424202	1.01214869942727
60	0.030588250968236277	0.020392167312157518	0.010196083656078759	0.07134527098902108	10000.0	9818.533571377136	9818.53357137662	107.26866178552676	107.26866178587791	49.465177891516646	49.46517789166604	24.732588945758323	24.73258894583302	-7.234206446115422	-7.23420644613756	4.077693749387294	4.077693749417484	2.104341797806839	2.1043417978133845	1.0521708989034195	1.0521708989066922
61	0.03058743096400668	0.02039162064267112	0.01019581032133556	0.07134228155577543	10000.0	9811.019337919017	9811.019337918477	111.50173449591934	111.50173449628846	51.652618389998345	51.6526183901549	25.826309194999173	25.82630919507745	-7.514233458119634	-7.514233458143838	4.233072710392577	4.233072710410549	2.187440498481699	2.1874404984888596	1.0937202492408495	1.0937202492444298
62	0.030586579343772978	0.020391052895848652	0.010195526447924326	0.07133917761180925	10000.0	9803.214879895524	9803.214879894958	115.89564091311716	115.89564091353442	53.92631946083897	53.92631946100305	26.963159730419484	26.963159730501523	-7.804458023492771	-7.804458023518178	4.393906417197826	4.393906417245953	2.273701070840623	2.2737010708481504	1.1368505354203116	1.1368505354240752
63	0.030585694966298232	0.020390463310865487	0.010195231655432744	0.07133595508578695	10000.0	9795.109680147763	9795.109680147169	120.45598944447786	120.4559894449246	56.28955360509662	56.289553605269205	28.14477680254831	28.144776802634603	-8.105199747760707	-8.10519974778942	4.560348531360702	4.560348531390178	2.363234144257653	2.3632341442661615	1.1816170721288266	1.1816170721330808
